id,fecha,hora,tipo_accidente,provincia,ciudad,direccion,latitud,longitud,estado,victimas,heridos,vehiculos_involucrados,condicion_clima,condicion_via
1,2024-07-17,07:14,Atropello,Azuay,Cuenca,"Calle Central parque industrial, Cuenca, Azuay, Ecuador",-2.912646,-78.9608286,REPORTADO,1,0,1,Despejado,Regular
2,2025-05-09,07:28,Choque con objeto fijo,Azuay,Cuenca,"Av. Principal y Av. González Suárez, Cuenca, Azuay, Ecuador",-2.8769006,-78.9960342,ARCHIVADO,1,0,4,Despejado,Buena
3,2024-06-25,01:46,Colisión múltiple,Azuay,Cuenca,"Calle Central sector sur, Cuenca, Azuay, Ecuador",-2.9344981,-79.0403005,REPORTADO,1,2,2,Lluvia,Regular
4,2024-04-11,09:05,Volcamiento,Guayas,Guayaquil,"Calle Central sector sur, Guayaquil, Guayas, Ecuador",-2.2601066,-79.8297118,CERRADO,1,2,1,Despejado,Regular
5,2023-05-27,19:40,Atropello,Guayas,Guayaquil,"Calle Bolívar y Av. González Suárez, Guayaquil, Guayas, Ecuador",-2.1732216,-79.8550084,ARCHIVADO,1,4,2,Cubierto,Regular
6,2024-04-14,01:51,Caída de pasajero,Pichincha,Quito,"Av. 10 de Agosto sector norte, Quito, Pichincha, Ecuador",-0.2574065,-78.3926144,REPORTADO,1,3,3,Despejado,Regular
7,2025-07-28,04:16,Atropello,Azuay,Gualaceo,"Calle Bolívar parque industrial, Gualaceo, Azuay, Ecuador",-2.8844023,-78.7882064,CERRADO,2,1,2,Despejado,Mala
8,2023-04-07,03:09,Atropello,Azuay,Cuenca,"Av. 10 de Agosto centro histórico, Cuenca, Azuay, Ecuador",-2.9319175,-79.0375595,REPORTADO,1,1,2,Despejado,Regular
9,2023-08-23,21:56,Choque con objeto fijo,El Oro,Machala,"Calle Sucre y Calle Solano, Machala, El Oro, Ecuador",-3.2698455,-79.9538146,CERRADO,1,1,4,Lluvia,Buena
10,2023-08-06,20:19,Volcamiento,Azuay,Cuenca,"Av. Loja sector norte, Cuenca, Azuay, Ecuador",-2.9069055,-79.0267771,EN_INVESTIGACION,1,2,2,Despejado,Buena
11,2024-09-21,07:03,Volcamiento,Azuay,Gualaceo,"Calle Central y Calle Solano, Gualaceo, Azuay, Ecuador",-2.8932259,-78.7911202,ARCHIVADO,2,4,2,Despejado,Regular
12,2025-12-16,19:27,Volcamiento,El Oro,Machala,"Calle Bolívar parque industrial, Machala, El Oro, Ecuador",-3.2705713,-79.9633183,CERRADO,1,2,2,Lluvia,Buena
13,2023-02-13,18:35,Volcamiento,Azuay,Cuenca,"Calle Bolívar y Calle Solano, Cuenca, Azuay, Ecuador",-2.904493,-78.9773824,REPORTADO,2,0,1,Despejado,Buena
14,2025-09-21,06:34,Atropello,Azuay,Cuenca,"Calle Ordóñez y Av. González Suárez, Cuenca, Azuay, Ecuador",-2.9301326,-79.0044766,ARCHIVADO,2,0,1,Cubierto,Buena
15,2023-07-21,01:25,Caída de pasajero,Azuay,Cuenca,"Calle Central y Av. González Suárez, Cuenca, Azuay, Ecuador",-2.8908585,-79.051255,EN_INVESTIGACION,0,1,2,Despejado,Buena
16,2023-07-20,01:41,Colisión frontal,Manabí,Manta,"Calle Central y Av. González Suárez, Manta, Manabí, Ecuador",-0.9612473,-80.7286686,EN_INVESTIGACION,1,1,3,Lluvia,Buena
17,2025-07-20,09:27,Colisión múltiple,Azuay,Cuenca,"Av. Loja y Av. González Suárez, Cuenca, Azuay, Ecuador",-2.9435948,-78.9610114,CERRADO,1,0,2,Despejado,Buena
18,2025-12-23,05:03,Colisión lateral,Azuay,Cuenca,"Av. Loja y Calle Solano, Cuenca, Azuay, Ecuador",-2.8535368,-78.9750603,REPORTADO,2,0,1,Lluvia,Buena
19,2025-05-08,21:37,Caída de pasajero,Azuay,Cuenca,"Av. España y Av. González Suárez, Cuenca, Azuay, Ecuador",-2.9196386,-79.0461328,CERRADO,1,1,2,Despejado,Buena
20,2025-07-27,19:36,Colisión lateral,Guayas,Guayaquil,"Calle Central centro histórico, Guayaquil, Guayas, Ecuador",-2.1599227,-79.8978756,EN_INVESTIGACION,1,0,2,Despejado,Buena
21,2024-09-11,19:51,Colisión frontal,Azuay,Cuenca,"Av. España parque industrial, Cuenca, Azuay, Ecuador",-2.9378962,-79.0063823,REPORTADO,3,0,1,Despejado,Regular
22,2024-12-03,06:43,Choque con objeto fijo,Azuay,Cuenca,"Calle Ordóñez sector norte, Cuenca, Azuay, Ecuador",-2.9466611,-78.964968,REPORTADO,0,1,1,Despejado,Regular
23,2025-06-23,17:45,Salida de vía,Azuay,Cuenca,"Av. Principal y Calle Solano, Cuenca, Azuay, Ecuador",-2.924222,-78.9896478,REPORTADO,3,2,1,Despejado,Buena
24,2023-03-27,09:23,Colisión frontal,Azuay,Cuenca,"Calle Sucre y Av. González Suárez, Cuenca, Azuay, Ecuador",-2.9189289,-79.0038932,EN_INVESTIGACION,2,1,2,Lluvia,Mala
25,2024-04-29,05:51,Atropello,Guayas,Durán,"Av. 10 de Agosto y Calle Solano, Durán, Guayas, Ecuador",-2.1800316,-79.8397058,EN_INVESTIGACION,2,1,3,Lluvia,Mala
26,2023-08-10,12:55,Colisión frontal,Pichincha,Quito,"Calle Ordóñez y Av. González Suárez, Quito, Pichincha, Ecuador",-0.1055665,-78.4237787,EN_INVESTIGACION,2,1,2,Lluvia,Buena
27,2024-11-03,08:55,Colisión lateral,Azuay,Cuenca,"Av. España sector norte, Cuenca, Azuay, Ecuador",-2.8561501,-78.9664173,ARCHIVADO,2,2,2,Despejado,Mala
28,2024-06-27,01:06,Salida de vía,Azuay,Cuenca,"Calle Sucre parque industrial, Cuenca, Azuay, Ecuador",-2.89031,-78.9637126,CERRADO,1,4,1,Lluvia,Buena
29,2025-11-30,17:43,Volcamiento,Azuay,Cuenca,"Calle Sucre sector sur, Cuenca, Azuay, Ecuador",-2.9412507,-79.0363017,REPORTADO,3,3,2,Cubierto,Buena
30,2025-04-16,10:25,Choque con objeto fijo,Manabí,Manta,"Av. Loja y Av. González Suárez, Manta, Manabí, Ecuador",-0.9949864,-80.7193802,ARCHIVADO,2,1,2,Despejado,Regular
31,2024-09-14,09:13,Salida de vía,Azuay,Cuenca,"Calle Sucre sector sur, Cuenca, Azuay, Ecuador",-2.9112323,-79.0287651,ARCHIVADO,1,0,2,Lluvia,Regular
32,2025-11-21,21:40,Caída de pasajero,Azuay,Cuenca,"Calle Central y Av. González Suárez, Cuenca, Azuay, Ecuador",-2.8672262,-79.0202247,CERRADO,1,0,1,Despejado,Buena
33,2025-04-28,20:36,Volcamiento,Pichincha,Quito,"Av. 10 de Agosto sector sur, Quito, Pichincha, Ecuador",-0.2157505,-78.4609686,ARCHIVADO,1,2,1,Lluvia,Regular
34,2023-12-27,22:33,Colisión múltiple,Azuay,Cuenca,"Av. Principal centro histórico, Cuenca, Azuay, Ecuador",-2.9360076,-78.9756803,EN_INVESTIGACION,3,0,1,Cubierto,Regular
