latitud_accidente,longitud_accidente,tipo_accidente,gravedad,fecha_siniestro,cantón,provincia,clima,numero_victimas
-2.375475,-76.179682,atropello,leve,2025-01-05 22:10:27,Cuenca,Azuay,niebla,4
-3.663408,-79.885153,colisión múltiple,leve,2025-08-25 10:02:52,Cuenca,Manabí,soleado,4
-3.065471,-79.206119,atropello,leve,2024-03-14 15:35:08,Loja,Azuay,nublado,2
0.144917,-79.334203,colisión múltiple,grave,2024-07-14 19:27:38,Cuenca,Loja,nublado,1
-0.423434,-80.484633,vuelco,fatal,2024-04-20 07:24:20,Cuenca,Azuay,soleado,4
1.274559,-78.4392,choque,grave,2025-09-06 13:49:27,Manta,Loja,nublado,3
-3.623233,-76.928641,choque,grave,2025-06-28 18:41:27,Manta,Loja,lluvia,5
-2.451797,-80.259983,atropello,fatal,2025-09-21 12:49:31,Cuenca,Loja,soleado,4
-3.67886,-79.933424,colisión múltiple,leve,2023-10-28 04:44:47,Quito,Azuay,niebla,1
-1.581357,-79.329736,atropello,grave,2023-08-02 01:56:45,Manta,Azuay,lluvia,1
1.307942,-75.367291,atropello,leve,2025-05-14 12:58:42,Cuenca,Azuay,soleado,4
-0.46051,-77.807972,choque,grave,2024-08-23 18:47:57,Quito,Pichincha,nublado,1
-1.358074,-80.812475,atropello,grave,2023-02-01 19:20:11,Cuenca,Loja,lluvia,2
1.282956,-75.421695,atropello,grave,2023-09-01 23:38:52,Cuenca,El Oro,niebla,4
-1.138613,-76.564251,choque,leve,2024-12-01 03:17:45,Quito,Azuay,niebla,5
0.368172,-78.274155,atropello,grave,2023-08-09 06:09:03,Santo Domingo,Azuay,soleado,5
-3.23411,-77.195965,choque,leve,2024-07-14 06:16:10,Cuenca,El Oro,niebla,4
-4.793042,-76.097714,choque,leve,2025-11-26 23:10:42,Loja,Azuay,nublado,5
-2.632887,-79.805638,choque,grave,2023-12-16 04:50:48,Cuenca,Loja,lluvia,2
1.657017,-79.786496,choque,fatal,2024-11-22 23:07:56,Cuenca,Santo Domingo de los Tsáchilas,nublado,3
0.214135,-77.016713,atropello,leve,2023-08-21 03:46:39,Cuenca,Tungurahua,lluvia,1
-4.875627,-76.632935,vuelco,grave,2023-10-19 00:08:58,Loja,Azuay,soleado,1
-1.315164,-79.660746,atropello,grave,2025-11-23 17:58:03,Santo Domingo,Santo Domingo de los Tsáchilas,nublado,3
1.209912,-76.985469,choque,leve,2025-12-19 16:40:25,Loja,Azuay,nublado,3
1.744899,-80.149681,vuelco,fatal,2025-07-08 13:57:34,Cuenca,Azuay,nublado,3
1.366541,-79.543604,colisión múltiple,grave,2025-08-10 20:50:28,Cuenca,Loja,nublado,5
0.083984,-79.293664,atropello,leve,2025-04-02 03:34:10,Cuenca,Loja,niebla,1
-3.938381,-75.525243,atropello,grave,2024-08-26 00:03:07,Cuenca,Pichincha,soleado,5
-4.599062,-80.357938,colisión múltiple,fatal,2023-03-21 06:51:31,Loja,Azuay,lluvia,2
-4.101918,-76.69139,vuelco,leve,2025-04-02 18:46:49,Cuenca,Azuay,niebla,2
0.6372,-77.208202,vuelco,fatal,2023-11-23 03:26:51,Santo Domingo,Azuay,soleado,1
-0.138052,-78.788082,atropello,grave,2023-03-26 08:25:55,Guayaquil,Guayas,niebla,2
-3.038563,-78.644565,vuelco,grave,2023-09-14 11:57:44,Manta,Azuay,lluvia,3
-0.816308,-78.350334,atropello,leve,2025-10-11 19:42:47,Cuenca,Azuay,lluvia,1
1.917185,-80.392305,colisión múltiple,leve,2025-02-02 23:29:11,Cuenca,Azuay,soleado,1
0.910978,-79.038622,vuelco,leve,2023-09-30 12:38:32,Machala,Azuay,nublado,3
-0.715029,-79.270848,choque,fatal,2025-12-04 18:14:44,Cuenca,Azuay,soleado,1
-1.193616,-77.350216,atropello,leve,2024-05-15 00:09:23,Cuenca,Azuay,niebla,4
-0.150273,-77.150052,vuelco,fatal,2025-09-24 03:11:24,Cuenca,Azuay,nublado,1
-1.173948,-78.827442,colisión múltiple,fatal,2023-02-26 18:39:55,Ambato,Azuay,niebla,4
-3.686056,-76.466185,choque,fatal,2024-10-15 06:00:48,Cuenca,Loja,nublado,3
0.945007,-79.398944,atropello,grave,2023-02-04 13:08:17,Manta,Loja,soleado,2
1.615497,-78.169415,choque,leve,2024-03-15 05:54:41,Cuenca,Pichincha,niebla,1
-0.869832,-78.172597,vuelco,leve,2025-10-26 06:50:57,Quito,Azuay,niebla,3
-3.693471,-80.550437,colisión múltiple,fatal,2025-04-20 11:38:13,Cuenca,Azuay,soleado,1
1.79068,-75.918125,colisión múltiple,leve,2023-06-06 03:26:47,Cuenca,Loja,niebla,3
-4.548706,-80.0375,choque,fatal,2024-12-29 19:13:50,Manta,Azuay,niebla,3
-2.65527,-79.681384,colisión múltiple,grave,2025-02-19 16:24:46,Cuenca,Loja,niebla,1
0.946565,-75.130198,colisión múltiple,leve,2023-10-06 00:56:31,Cuenca,Azuay,lluvia,1
-0.641014,-79.526208,choque,grave,2024-05-02 07:46:05,Machala,Loja,lluvia,5
-3.575678,-78.255177,atropello,grave,2024-01-12 16:56:25,Loja,Manabí,nublado,3
-4.776363,-75.80356,atropello,leve,2025-02-06 06:52:44,Santo Domingo,Guayas,nublado,3
0.152671,-79.84431,vuelco,fatal,2023-12-28 17:09:28,Machala,Loja,nublado,5
-0.275976,-78.053977,choque,grave,2023-01-04 21:48:26,Cuenca,Guayas,nublado,2
-4.87382,-79.316755,vuelco,leve,2023-07-27 13:29:18,Loja,Azuay,niebla,4
0.621839,-75.802144,vuelco,grave,2024-03-13 02:09:31,Cuenca,Manabí,niebla,5
-4.416865,-79.166122,colisión múltiple,grave,2025-02-08 06:35:36,Cuenca,Azuay,niebla,1
-3.150159,-77.972133,vuelco,leve,2024-07-24 09:38:22,Cuenca,El Oro,nublado,2
-4.414647,-76.423452,vuelco,grave,2024-04-08 08:29:57,Cuenca,Azuay,soleado,2
-1.066381,-78.645165,atropello,fatal,2025-04-06 16:09:37,Loja,Guayas,niebla,4
-1.892712,-79.609816,vuelco,grave,2023-12-09 23:32:23,Ambato,Guayas,soleado,2
-4.92059,-79.485245,vuelco,grave,2023-02-16 20:57:49,Cuenca,Azuay,soleado,5
0.728305,-76.84425,vuelco,grave,2023-07-21 15:08:13,Cuenca,Azuay,lluvia,2
-2.448925,-80.74695,atropello,fatal,2024-04-15 07:44:32,Loja,Loja,lluvia,5
-0.959145,-77.279737,choque,fatal,2024-09-22 23:59:17,Cuenca,Azuay,nublado,5
1.960114,-79.688057,colisión múltiple,leve,2025-06-19 17:40:19,Cuenca,Manabí,lluvia,2
-0.033785,-78.724741,vuelco,leve,2023-01-10 22:48:51,Cuenca,Guayas,nublado,5
-4.745776,-76.889717,colisión múltiple,grave,2024-07-25 14:27:47,Santo Domingo,El Oro,lluvia,5
0.14288,-77.749358,vuelco,fatal,2023-10-22 18:22:38,Ambato,Azuay,nublado,5
1.175348,-78.938125,colisión múltiple,fatal,2023-03-10 22:32:06,Machala,Azuay,niebla,2
-0.8665,-75.64645,colisión múltiple,leve,2023-12-26 18:46:02,Guayaquil,Azuay,niebla,4
1.444957,-75.258076,colisión múltiple,leve,2024-04-17 10:35:28,Loja,Loja,lluvia,5
-1.362607,-76.659063,choque,leve,2023-02-17 07:36:38,Ambato,Loja,soleado,3
-1.1903,-78.475998,colisión múltiple,fatal,2025-01-21 04:29:05,Santo Domingo,Loja,soleado,3
-4.157368,-75.556674,colisión múltiple,fatal,2023-03-11 19:19:41,Guayaquil,Loja,lluvia,4
-1.530802,-75.704836,vuelco,fatal,2024-02-06 02:32:03,Cuenca,Loja,nublado,4
-4.432523,-77.986222,atropello,fatal,2023-08-12 20:21:35,Loja,Loja,lluvia,2
0.170265,-79.255268,atropello,fatal,2024-01-29 18:19:14,Cuenca,El Oro,nublado,1
-2.219849,-80.674189,colisión múltiple,leve,2025-02-21 19:57:10,Ambato,Azuay,lluvia,1
-0.948174,-76.304013,atropello,grave,2024-12-22 21:35:40,Loja,Azuay,niebla,4
-2.509619,-76.600512,atropello,leve,2024-07-05 01:46:08,Cuenca,Azuay,lluvia,3
-0.62352,-79.508673,choque,fatal,2024-01-01 20:50:38,Loja,Azuay,soleado,2
-2.413333,-77.524589,choque,leve,2024-07-29 22:24:04,Cuenca,Azuay,niebla,2
0.22593,-77.979305,vuelco,leve,2023-12-09 06:25:24,Loja,Loja,lluvia,1
0.242247,-78.946957,choque,grave,2023-02-11 19:02:08,Loja,Loja,lluvia,1
-1.05009,-77.745295,colisión múltiple,fatal,2023-02-09 03:45:18,Machala,Azuay,niebla,5
-0.0187,-79.755584,atropello,fatal,2023-10-04 02:38:54,Cuenca,Guayas,lluvia,2
0.626639,-79.725971,vuelco,fatal,2025-02-02 02:35:18,Ambato,El Oro,niebla,3
-1.836504,-75.817306,vuelco,fatal,2024-03-13 17:39:55,Cuenca,Azuay,lluvia,1
-1.057138,-79.546117,vuelco,fatal,2025-03-18 07:24:18,Loja,Loja,niebla,2
-2.018518,-79.850658,choque,grave,2025-07-31 10:19:17,Loja,Pichincha,soleado,5
-2.847082,-80.998408,vuelco,leve,2023-02-23 22:10:27,Cuenca,Loja,niebla,2
-0.094365,-80.906192,choque,leve,2023-05-29 02:34:21,Cuenca,Azuay,lluvia,2
-2.659999,-80.996054,vuelco,fatal,2025-07-15 08:38:31,Cuenca,Loja,niebla,1
-2.138192,-80.167729,colisión múltiple,fatal,2023-12-29 02:37:21,Loja,Loja,niebla,5
-3.74845,-76.496737,atropello,grave,2025-09-10 20:51:05,Quito,Azuay,soleado,1
